,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,-4.16%,0.0%,-0.26%,16.55%,-3.62%
2_Hr_BESS,-0.52%,0.0%,-1.59%,-9.67%,-10.89%
2_Hr_BESS_Fuelx2,-24.22%,0.0%,-31.13%,-28.9%,-31.03%
4_Hr_BESS,-7.9%,0.0%,-0.98%,-9.45%,-11.68%
4_Hr_BESS_Fuelx2,-29.71%,0.0%,-24.66%,-30.36%,-31.41%
4_Hr_BESS_Fuelx3,-1.65%,0.0%,-6.56%,-15.79%,-27.67%
4_Hr_BESS_Fuelx4,-1.35%,0.0%,-8.59%,-7.54%,-20.21%
6_Hr_BESS,-15.78%,0.0%,-6.78%,-14.02%,-13.55%
6_Hr_BESS_Fuelx2,-3.9%,0.0%,-11.93%,-15.76%,-17.42%
8_Hr_BESS,-26.01%,0.0%,-26.64%,-17.99%,-20.92%
8_Hr_BESS_Fuelx2,-1.3%,0.0%,-0.08%,-32.65%,-32.18%
10_Hr_BESS,-17.92%,0.0%,-24.77%,-11.75%,-13.28%
10_Hr_BESS_Fuelx2,-1.07%,0.0%,-0.13%,-27.01%,-28.67%
