Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,735.1966895535472,685.4556473731446,693.5254264816496,518.1776830362045,720.2254227848605
2_Hr_BESS,289.44781004155396,289.1108673378773,296.1632533718463,352.71441645342,356.4715696225204
2_Hr_BESS_Fuelx2,283.8589459294105,197.2613101640647,425.24405318103356,386.75205247333037,377.2220796923999
4_Hr_BESS,281.83802792501564,270.06966296096533,277.3585760159606,329.6048764729004,332.65772234598364
4_Hr_BESS_Fuelx2,190.2539689047463,194.9490012325007,325.87308554130647,396.40216959793787,370.97761534791266
4_Hr_BESS_Fuelx3,272.4757086256298,264.30528804676356,298.34154079734236,369.6795406890761,441.9131472501199
4_Hr_BESS_Fuelx4,258.4956294374505,244.82080140619192,283.2121838669445,288.72813836129495,308.60839007845095
6_Hr_BESS,299.4936323324187,253.10091874624518,287.69740158442573,350.66093087497717,340.25794948259755
6_Hr_BESS_Fuelx2,281.26936879532894,280.142457723767,341.87233761818925,410.24326710955035,395.01565509966565
8_Hr_BESS,304.67398119105434,200.16055390395672,339.8973560181812,315.478902446234,326.6616897930834
8_Hr_BESS_Fuelx2,290.12193677202106,275.31057531187355,276.3575972458726,570.8116003294881,508.1525755088323
10_Hr_BESS,222.57931709602076,211.9565718550023,362.9295024751541,328.9397073029198,327.5700774852307
10_Hr_BESS_Fuelx2,287.5501901263485,274.4842890330996,276.0635995347115,494.0637525589737,452.51120164648734
