Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal Base,17976722256.026386,18178977221.301075,17400670364.415073,19082029511.353024,15655521187.487644
2 Hr BESS,21799400075.21762,21979759414.1722,21406277985.960793,20502085957.560596,19830365531.724724
2 Hr BESS Fuelx2,25122485031.702953,28833195149.34454,23296328002.790737,23425738078.226295,23451898129.18302
4 Hr BESS,21761463158.397884,22595114288.856853,22126041023.333862,20982261654.198483,20676884741.182873
4 Hr BESS Fuelx2,24946681420.205677,28854602698.541782,24422457543.426056,23600151897.217323,23804558991.411278
4 Hr BESS Fuelx3,26738710009.47481,27206603874.153275,26229358046.5628,25901057018.18066,24483757247.94519
4 Hr BESS Fuelx4,27949878006.260437,28776325739.43627,28740702897.361153,30466418075.434155,28752583164.49295
6 Hr BESS,21744509394.040512,23624722048.90081,22297793404.091076,20789533644.636974,20599014549.864147
6 Hr BESS Fuelx2,24862372343.338932,25397150843.851456,23926836980.193626,23496221462.144516,23556921967.18899
8 Hr BESS,21745620767.10662,25501371692.44891,21086681898.713352,21483165950.74638,20896330573.217266
8 Hr BESS Fuelx2,24784588760.88349,25635348124.32852,25327571787.237198,22116556717.918716,22184916553.11173
10 Hr BESS,21761763201.275093,23687189402.71996,20211063494.620483,21122989961.636402,20486272771.850155
10 Hr BESS Fuelx2,24727585519.084076,25572673753.29969,25309219162.511982,22769276595.476906,22346230767.948547
