Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal Base,0.0,1.1250936761115327,-3.204432284190195,6.148547213361444,-12.912259729443164
2 Hr BESS,0.0,0.8273591857218987,-1.803361963633776,-5.95114596356191,-9.032517118355788
2 Hr BESS Fuelx2,0.0,14.770473991561373,-7.269014297780352,-6.753897758663097,-6.649767729632472
4 Hr BESS,0.0,3.830859737651693,1.6753370960503888,-3.5806485001846133,-4.983940690571009
4 Hr BESS Fuelx2,0.0,15.66509473749429,-2.1013772050458956,-5.397629850268282,-4.578253955130607
4 Hr BESS Fuelx3,0.0,1.7498744872608496,-1.9049234713698682,-3.132735240396156,-8.433289267622046
4 Hr BESS Fuelx4,0.0,2.956892094451069,2.8294395092657743,9.00376047655751,2.8719451228113257
6 Hr BESS,0.0,8.646838706674176,2.5444768609136803,-4.391801774406856,-5.267972817498057
6 Hr BESS Fuelx2,0.0,2.1509552392163345,-3.7628563768008716,-5.494853275980449,-5.250707205741345
8 Hr BESS,0.0,17.27129781929888,-3.0302141081665845,-1.206931819381496,-3.905568863658415
8 Hr BESS Fuelx2,0.0,3.4326144026555205,2.190809101544078,-10.76488324541266,-10.489067350896375
10 Hr BESS,0.0,8.847749070865962,-7.125799928581844,-2.935300939223817,-5.861153885500436
10 Hr BESS Fuelx2,0.0,3.417593009893327,2.3521651273999966,-7.91953149690171,-9.6303569521483
