Case Name,NG CC,NG CT,Wind,Solar,BESS,Total
Thermal_Base,43%,9%,31%,17%,0%,0.9999999999999999
2_Hr_BESS,25%,9%,37%,19%,10%,1.0
2_Hr_BESS_Fuelx2,13%,6%,36%,22%,22%,1.0000000000000002
4_Hr_BESS,24%,8%,39%,17%,12%,1.0
4_Hr_BESS_Fuelx2,14%,6%,38%,24%,17%,0.9999999999999999
4_Hr_BESS_Fuelx3,11%,5%,36%,28%,19%,0.9999999999999999
4_Hr_BESS_Fuelx4,11%,4%,34%,30%,22%,1.0
6_Hr_BESS,25%,8%,41%,16%,10%,1.0
6_Hr_BESS_Fuelx2,14%,7%,39%,27%,13%,1.0
8_Hr_BESS,26%,8%,42%,16%,8%,1.0
8_Hr_BESS_Fuelx2,14%,6%,40%,28%,12%,1.0000000000000002
10_Hr_BESS,26%,8%,42%,17%,8%,1.0
10_Hr_BESS_Fuelx2,15%,6%,41%,28%,10%,0.9999999999999999
