Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,2873443850.8335705,2873443850.8335705,2873443850.8335705,2873443850.8335705,2873443850.8335705
2_Hr_BESS,4630722858.181554,4630722858.181554,4630722858.181554,4630722858.181554,4630722858.181554
2_Hr_BESS_Fuelx2,5690658144.634124,5690658144.634123,5690658144.634123,5690658144.634123,5690658144.634123
4_Hr_BESS,4703577410.681773,4703577410.681773,4703577410.681773,4703577410.681773,4703577410.681773
4_Hr_BESS_Fuelx2,5688278497.206176,5688278497.206177,5688278497.206177,5688278497.206177,5688278497.206177
4_Hr_BESS_Fuelx3,6165757590.000819,6165757590.000819,6165757590.000819,6165757590.000819,6165757590.000819
4_Hr_BESS_Fuelx4,6402644568.784679,6402644568.784679,6402644568.784679,6402644568.784679,6402644568.784679
6_Hr_BESS,4690008818.394349,4690008818.394349,4690008818.394349,4690008818.394349,4690008818.394349
6_Hr_BESS_Fuelx2,5661652287.962591,5661652287.962591,5661652287.962591,5661652287.962591,5661652287.962591
8_Hr_BESS,4684266613.030531,4684266613.030531,4684266613.030531,4684266613.030531,4684266613.030531
8_Hr_BESS_Fuelx2,5668108386.030022,5668108386.030022,5668108386.030022,5668108386.030022,5668108386.030022
10_Hr_BESS,4702970990.6463585,4702970990.6463585,4702970990.6463585,4702970990.6463585,4702970990.6463585
10_Hr_BESS_Fuelx2,5661174946.006543,5661174946.006543,5661174946.006543,5661174946.006543,5661174946.006543
