Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,7367280266.02598,7379724531.950089,7381065719.397149,7386447941.76191,7513516597.467837
2_Hr_BESS,5037793332.25496,5044443847.487279,5045123767.104381,5058517744.481711,5076237621.269012
2_Hr_BESS_Fuelx2,4528271023.244131,4598760702.872732,4606029691.622537,4637564637.173599,4639722362.662991
4_Hr_BESS,4822811495.025521,4861131162.110699,4863020911.765799,4866018562.407682,4882874655.26664
4_Hr_BESS_Fuelx2,4394377996.628817,4463316569.930895,4482536290.118775,4518221899.385952,4522071493.709078
4_Hr_BESS_Fuelx3,4375329474.554285,4465735224.81913,4506541137.109795,4585614676.246319,4563023510.030364
4_Hr_BESS_Fuelx4,4723709250.614032,4828327580.947182,4926503251.3189,5067406285.332527,5029247009.694653
6_Hr_BESS,4897302869.680622,4937384122.36052,4939723882.0919075,4939374922.47286,4962406896.2898655
6_Hr_BESS_Fuelx2,4388135230.487721,4454063128.615036,4478002306.305196,4516076344.097842,4519548347.72534
8_Hr_BESS,4937874182.772606,4964153420.299808,4967068024.871399,4965939705.67961,4992853388.117985
8_Hr_BESS_Fuelx2,4303096740.718617,4360161601.125636,4401721530.201981,4436462708.655941,4445201382.582022
10_Hr_BESS,4881536759.169281,4905456851.212957,4911852185.941667,4911817818.809225,4939566186.803849
10_Hr_BESS_Fuelx2,4298351156.973199,4344334409.932822,4400933898.177531,4437972238.234972,4453864230.891334
