Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal Base,7143520145.1825,7143520145.1825,7143520145.1825,7143520145.1825,7143520145.1825
2 Hr BESS,11500540069.584263,11500540069.584265,11500540069.584265,11500540069.584265,11500540069.584265
2 Hr BESS Fuelx2,14552160796.843075,14552160796.843075,14552160796.843075,14552160796.843075,14552160796.843075
4 Hr BESS,11637282966.47918,11637282966.47918,11637282966.47918,11637282966.47918,11637282966.47918
4 Hr BESS Fuelx2,14530385921.924276,14530385921.924276,14530385921.924276,14530385921.924276,14530385921.924276
4 Hr BESS Fuelx3,15938272385.180883,15938272385.180883,15938272385.180883,15938272385.180883,15938272385.180883
4 Hr BESS Fuelx4,16596833420.633999,16596833420.634,16596833420.634,16596833420.634,16596833420.634
6 Hr BESS,11546092012.977165,11546092012.977163,11546092012.977163,11546092012.977163,11546092012.977163
6 Hr BESS Fuelx2,14479246056.280827,14479246056.280827,14479246056.280827,14479246056.280827,14479246056.280827
8 Hr BESS,11497702213.731655,11497702213.731655,11497702213.731655,11497702213.731655,11497702213.731655
8 Hr BESS Fuelx2,14483123615.5466,14483123615.5466,14483123615.5466,14483123615.5466,14483123615.5466
10 Hr BESS,11560071921.508125,11560071921.508125,11560071921.508125,11560071921.508125,11560071921.508125
10 Hr BESS Fuelx2,14431809360.41311,14431809360.41311,14431809360.41311,14431809360.41311,14431809360.41311
