Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal Base,0.0,0.0,0.0,0.0,0.0
2 Hr BESS,-1.1102230246251565e-14,0.0,0.0,0.0,0.0
2 Hr BESS Fuelx2,0.0,0.0,0.0,0.0,0.0
4 Hr BESS,0.0,0.0,0.0,0.0,0.0
4 Hr BESS Fuelx2,0.0,0.0,0.0,0.0,0.0
4 Hr BESS Fuelx3,0.0,0.0,0.0,0.0,0.0
4 Hr BESS Fuelx4,-1.1102230246251565e-14,0.0,0.0,0.0,0.0
6 Hr BESS,2.220446049250313e-14,0.0,0.0,0.0,0.0
6 Hr BESS Fuelx2,0.0,0.0,0.0,0.0,0.0
8 Hr BESS,0.0,0.0,0.0,0.0,0.0
8 Hr BESS Fuelx2,0.0,0.0,0.0,0.0,0.0
10 Hr BESS,0.0,0.0,0.0,0.0,0.0
10 Hr BESS Fuelx2,0.0,0.0,0.0,0.0,0.0
