Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,17976722256.02638,18191248182.20358,18192645220.174164,18206976655.632126,18254870868.066406
2_Hr_BESS,22069843533.31729,22180980532.009148,22220881923.618877,22248969366.70173,22230613911.661415
2_Hr_BESS_Fuelx2,25603467502.46107,26046220870.840317,25956466832.01556,26025662407.87735,26033294104.640724
4_Hr_BESS,22082784318.33752,22281247183.07405,22307398977.839542,22302712515.84234,22287170488.16446
4_Hr_BESS_Fuelx2,25495622941.206062,25884852626.738987,25904333744.73116,25926806146.97028,25978352372.40219
4_Hr_BESS_Fuelx3,27490265731.951736,27948101690.68049,28000054679.100307,28143519675.31349,28181864524.869087
4_Hr_BESS_Fuelx4,28799502145.043777,29351741083.582306,29647869122.371704,29871233554.03416,29893554630.927914
6_Hr_BESS,22095046012.39331,22302502413.32562,22324704366.329166,22283782181.485947,22268160085.141922
6_Hr_BESS_Fuelx2,25446716504.375347,25790356484.40902,25831647362.816784,25872228270.071365,25909285087.9596
8_Hr_BESS,22097344888.598557,22316931763.326023,22269884508.17696,22231013870.731976,22223302578.391335
8_Hr_BESS_Fuelx2,25350806526.65104,25663047913.838547,25769530952.859314,25791671354.639435,25836752605.220135
10_Hr_BESS,22113716717.88392,22282656655.41051,22277630193.483574,22249905358.053387,22252378471.335957
10_Hr_BESS_Fuelx2,25244303174.65407,25527241086.273125,25679443732.340565,25707633352.645706,25756031853.066944
