Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal Base,1.1753e+04,1.1753e+04,1.1753e+04,1.3809e+04,1.1753e+04
2 Hr BESS,2.1594e+04,2.1599e+04,2.1599e+04,2.4932e+04,2.8873e+04
2 Hr BESS Fuelx2,1.2445e+04,1.2469e+04,1.2469e+04,3.3785e+04,3.0218e+04
4 Hr BESS,1.3093e+04,1.3109e+04,1.3109e+04,3.0360e+04,2.5092e+04
4 Hr BESS Fuelx2,0.0000e+00,2.5055e+01,2.5055e+01,1.6627e+04,1.3387e+04
4 Hr BESS Fuelx3,0.0000e+00,3.6292e+01,3.6292e+01,1.1669e+04,5.8746e+03
4 Hr BESS Fuelx4,1.6545e+04,1.6705e+04,1.6705e+04,2.2398e+04,2.0988e+04
6 Hr BESS,6.8487e+03,7.0331e+03,7.0331e+03,2.5461e+04,2.1875e+04
6 Hr BESS Fuelx2,0.0000e+00,2.3235e+01,2.3235e+01,1.5247e+04,1.2219e+04
8 Hr BESS,3.4433e+03,3.4521e+03,3.4520e+03,2.1488e+04,1.6665e+04
8 Hr BESS Fuelx2,1.0531e+04,1.0555e+04,1.0555e+04,1.9170e+04,1.4678e+04
10 Hr BESS,2.7221e+02,2.8221e+02,2.8221e+02,1.7497e+04,1.5021e+04
10 Hr BESS Fuelx2,2.1951e+04,2.1973e+04,2.1973e+04,2.8757e+04,2.6050e+04
