Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,5.8767e+07,5.8767e+07,5.8767e+07,6.9047e+07,5.8767e+07
2_Hr_BESS,1.0797e+08,1.0799e+08,1.0799e+08,1.2466e+08,1.4436e+08
2_Hr_BESS_Fuelx2,6.2227e+07,6.2344e+07,6.2344e+07,1.6893e+08,1.5109e+08
4_Hr_BESS,6.5464e+07,6.5545e+07,6.5545e+07,1.5180e+08,1.2546e+08
4_Hr_BESS_Fuelx2,0.0000e+00,1.2527e+05,1.2527e+05,8.3134e+07,6.6933e+07
4_Hr_BESS_Fuelx3,0.0000e+00,1.8146e+05,1.8146e+05,5.8343e+07,2.9373e+07
4_Hr_BESS_Fuelx4,8.2723e+07,8.3526e+07,8.3526e+07,1.1199e+08,1.0494e+08
6_Hr_BESS,3.4243e+07,3.5166e+07,3.5166e+07,1.2731e+08,1.0937e+08
6_Hr_BESS_Fuelx2,0.0000e+00,1.1617e+05,1.1617e+05,7.6234e+07,6.1096e+07
8_Hr_BESS,1.7216e+07,1.7260e+07,1.7260e+07,1.0744e+08,8.3325e+07
8_Hr_BESS_Fuelx2,5.2656e+07,5.2774e+07,5.2774e+07,9.5850e+07,7.3390e+07
10_Hr_BESS,1.3611e+06,1.4110e+06,1.4110e+06,8.7486e+07,7.5105e+07
10_Hr_BESS_Fuelx2,1.0975e+08,1.0987e+08,1.0987e+08,1.4379e+08,1.3025e+08
