Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,18072514738.271347,18287040671.5559,18288437709.52649,18319306341.732666,18352205373.736744
2_Hr_BESS,21912318198.81102,22017796968.764744,22019189478.36238,22084404953.22806,22139391322.845345
2_Hr_BESS_Fuelx2,25188677945.74296,25310956172.724865,25321430444.250423,25509256166.52128,25492915084.10793
4_Hr_BESS,21832111550.63356,21905506239.81781,21909090529.808197,22022221592.481976,22023051463.468258
4_Hr_BESS_Fuelx2,24950647004.42452,25054905345.94853,25081051804.587402,25238109991.55329,25208697026.657063
4_Hr_BESS_Fuelx3,26741481569.64198,26879619243.871593,26927958863.304768,27123532326.147762,27049701227.439842
4_Hr_BESS_Fuelx4,28034965953.66703,28214927559.204834,28320840712.636765,28561580289.252354,28486002632.643467
6_Hr_BESS,21783606663.912277,21863421731.491684,21868290573.706963,21981874603.309536,21981382218.819447
6_Hr_BESS_Fuelx2,24866342203.582424,24971813194.94738,25003238628.249474,25156361436.627785,25128544865.440914
8_Hr_BESS,21767582754.946007,21865399197.60415,21874316664.168335,21982177841.05674,21963416913.67301
8_Hr_BESS_Fuelx2,24840271025.865837,24953352005.782204,25004776526.81945,25121483896.73908,25083419175.300884
10_Hr_BESS,21775414493.282906,21870945796.8233,21884973001.20944,21989321175.269775,21975786727.824135
10_Hr_BESS_Fuelx2,24840992113.582245,24972568584.84999,25039959925.792168,25147343948.77671,25114229052.238285
