Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,214853060.99790403,417454620.0489559,417315419.69114023,426100354.8405689,341368437.34355366
2_Hr_BESS,106433813.75117849,204709463.28591612,205356654.30743402,239794451.75400445,255742497.49782193
2_Hr_BESS_Fuelx2,93944194.60309483,142199943.3417636,144987674.41141313,194527683.87512118,193771625.24783972
4_Hr_BESS,95186246.71240467,126407011.68615586,127920836.3004622,152173893.73042917,160922319.94025195
4_Hr_BESS_Fuelx2,82925775.58968645,114769702.01731499,120314647.49663606,158341042.3214153,141284768.54874086
4_Hr_BESS_Fuelx3,79733974.83425018,124375703.10672233,130542945.85495816,186216390.90000296,164567614.79519147
4_Hr_BESS_Fuelx4,74872666.92843866,146859076.8131881,152275799.0545962,219689039.56700203,188852212.51813984
6_Hr_BESS,101661946.92973013,136521096.94484958,138817822.5626095,161274343.36359453,153471607.3964367
6_Hr_BESS_Fuelx2,83029736.97990303,119252151.79343681,125094978.48012543,163502824.37279385,147294368.71448094
8_Hr_BESS,113195416.31528236,182285070.2647263,187946372.89343917,207471597.82453382,183338023.38298547
8_Hr_BESS_Fuelx2,84125011.31727928,137264188.67120373,144337044.56114385,180850841.21818903,156265336.77909887
10_Hr_BESS,110706681.9686023,180215865.12150338,186922312.991019,207433889.62822303,177507289.65777472
10_Hr_BESS_Fuelx2,90805361.46897739,174111320.27552164,181213200.62374726,215287914.99845907,179323967.8930279
