Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,18035489282.918224,18250015217.263447,18251412255.234035,18276023951.38131,18313637894.958252
2_Hr_BESS,21907369336.93102,22012848107.11338,22014240616.711018,22079456091.34806,22135474663.760303
2_Hr_BESS_Fuelx2,25184712361.52421,25306990588.46583,25317464859.99139,25507085821.33607,25490744738.92272
4_Hr_BESS,21826926704.832413,21900321393.594666,21903905683.585052,22017988833.305874,22018818704.292156
4_Hr_BESS_Fuelx2,24946681420.20577,25050939761.689495,25077086220.32837,25235994256.968185,25206581292.071957
4_Hr_BESS_Fuelx3,26738710009.47487,26876824137.162712,26925163756.595886,27120764129.73498,27046929667.27273
4_Hr_BESS_Fuelx4,28032601268.40286,28212509532.942707,28318422686.374638,28558648180.220325,28481894259.86367
6_Hr_BESS,21778752868.618042,21858567935.77545,21863436777.99073,21977876586.15032,21977384201.66023
6_Hr_BESS_Fuelx2,24862372343.339058,24967837804.505547,24999263238.175434,25154285371.725037,25126468800.538166
8_Hr_BESS,21762837214.818493,21860653657.054638,21869571123.618824,21978245633.867416,21959484706.48369
8_Hr_BESS_Fuelx2,24837244760.421196,24950319892.85757,25001744413.894817,25118456633.050476,25080388617.777912
10_Hr_BESS,21763124269.087387,21858665564.85637,21872692769.373535,21979614069.545456,21967420521.23451
10_Hr_BESS_Fuelx2,24837339973.289276,24968911467.07824,25036302808.020416,25143690510.470367,25110573745.793324
