Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal Base,3.7025e+04,3.7026e+04,3.7026e+04,4.3283e+04,3.8568e+04
2 Hr BESS,4.9489e+03,4.9499e+03,4.9499e+03,4.9499e+03,3.9177e+03
2 Hr BESS Fuelx2,3.9656e+03,3.9666e+03,3.9666e+03,2.1713e+03,2.1713e+03
4 Hr BESS,5.1848e+03,5.1858e+03,5.1858e+03,4.2338e+03,4.2338e+03
4 Hr BESS Fuelx2,3.9656e+03,3.9666e+03,3.9666e+03,2.1167e+03,2.1167e+03
4 Hr BESS Fuelx3,2.7716e+03,2.7961e+03,2.7961e+03,2.7692e+03,2.7726e+03
4 Hr BESS Fuelx4,2.3647e+03,2.4190e+03,2.4190e+03,2.9331e+03,4.1094e+03
6 Hr BESS,4.8538e+03,4.8548e+03,4.8548e+03,3.9990e+03,3.9990e+03
6 Hr BESS Fuelx2,3.9699e+03,3.9764e+03,3.9764e+03,2.0771e+03,2.0771e+03
8 Hr BESS,4.7455e+03,4.7465e+03,4.7465e+03,3.9332e+03,3.9332e+03
8 Hr BESS Fuelx2,3.0263e+03,3.0331e+03,3.0331e+03,3.0283e+03,3.0316e+03
10 Hr BESS,1.2290e+04,1.2281e+04,1.2281e+04,9.7081e+03,8.3672e+03
10 Hr BESS Fuelx2,3.6521e+03,3.6581e+03,3.6581e+03,3.6544e+03,3.6563e+03
