Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,0.0,0.0,0.0,16.899392302498306,4.2538825118163315
2_Hr_BESS,0.0,0.0,0.0,0.0,-20.790478692234636
2_Hr_BESS_Fuelx2,0.0,0.0,0.0,-45.27183780512407,-45.27940286463586
4_Hr_BESS,0.0,0.0,0.0,-18.361363987039038,-18.415367998765618
4_Hr_BESS_Fuelx2,0.0,0.0,0.0,-46.64867863627193,-46.54024611660278
4_Hr_BESS_Fuelx3,-0.8407570391041452,0.0,0.0,-0.9623984830596455,-0.898000071553795
4_Hr_BESS_Fuelx4,-2.204301075268822,0.0,0.0,21.26137303556659,69.97518610421835
6_Hr_BESS,0.0,0.0,0.0,-17.631546417240095,-17.59034158803412
6_Hr_BESS_Fuelx2,-0.13835085777531564,0.0,0.0,-47.776324395029434,-47.67822105951603
8_Hr_BESS,0.0,0.0,0.0,-17.138341586766416,-17.1847012959646
8_Hr_BESS_Fuelx2,-0.19128656706572933,0.0,0.0,-0.15830612446818826,-0.06925892945482959
10_Hr_BESS,0.08143322475568926,0.0,0.0,-20.951954397394136,-31.840390879478832
10_Hr_BESS_Fuelx2,-0.1367203521916327,0.0,0.0,-0.10117306062180642,0.07929780427113897
