Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal_Base,377624932.9864256,377105034.1884616,377300085.06980366,377464363.01357806,383021837.2389456
2_Hr_BESS,523910001.4456925,524437010.1485616,524502409.13682014,526455142.65349877,527867310.6185776
2_Hr_BESS_Fuelx2,257450872.37857664,260866750.24268624,261284301.94879305,263247467.0714603,263343414.12680665
4_Hr_BESS,502605039.49904114,506377595.3908147,506558311.0643799,507134165.9758909,508699627.46184206
4_Hr_BESS_Fuelx2,250713228.85681072,254063797.51099747,255445590.48267213,257632486.21110126,257627512.16098988
4_Hr_BESS_Fuelx3,179616584.90462762,182501773.1878876,183868237.5821631,186560520.99208257,185935523.838339
4_Hr_BESS_Fuelx4,151818099.29934627,154319222.64474285,156639983.46354452,160087186.6532299,159376524.62318635
6_Hr_BESS,509443746.05857295,513396188.2936963,513628545.17778105,513819914.6735889,516032025.3816397
6_Hr_BESS_Fuelx2,250309031.6280168,253508007.27476996,255151435.64832774,257574061.04540533,257631385.3229179
8_Hr_BESS,512582341.256645,514986087.1925642,515327659.1137871,515423519.05339956,517999260.45688736
8_Hr_BESS_Fuelx2,246135007.2708828,248888078.99514115,251679815.06610507,254061179.20597905,254299519.79419076
10_Hr_BESS,506476847.98277736,508538887.1592582,509464308.42304564,509833282.73493624,512199125.030446
10_Hr_BESS_Fuelx2,245444694.2222219,247616231.80160767,251306204.1508487,253659152.7334917,254150609.8459094
